,epower,fdr,n,partition_method,power
0,0.0,0.0,200,nonsplit,0.0
1,0.0,0.0,200,oracle_rec,0.0
2,0.0,0.0,200,sample-split,0.0
3,0.0,0.0,200,sample-split-rec,0.0
4,0.06127631569383061,0.009629831073092296,500,nonsplit,0.05925096922042946
5,0.016167849350524524,0.0011768880867950016,500,oracle_rec,0.016047697011945423
6,0.0,0.0,500,sample-split,0.0
7,0.00045002947886923947,0.0,500,sample-split-rec,0.00045002947886923947
8,0.33679981021123956,0.040950651050706804,800,nonsplit,0.31463132089215473
9,0.0958456949400993,0.00878415325427249,800,oracle_rec,0.09207658307955414
10,0.005180944565321372,0.00013950892857142856,800,sample-split,0.005139388714257542
11,0.026155531940233814,0.002211785758226174,800,sample-split-rec,0.025597833581707412
12,0.7020915207500189,0.04367927384649716,1100,nonsplit,0.665622778186518
13,0.3844408592442728,0.026541737211342495,1100,oracle_rec,0.36652321345519123
14,0.04123872202184734,0.005326082544821567,1100,sample-split,0.04013687218082345
15,0.15349223444504845,0.011280743923988557,1100,sample-split-rec,0.14831861913211214
16,0.8546994165855786,0.04430900988104594,1400,nonsplit,0.8133250677115925
17,0.6594267120608159,0.0186332385687914,1400,oracle_rec,0.6458438189520309
18,0.10581392520647016,0.014310658119540222,1400,sample-split,0.10001901102410854
19,0.4319907099307284,0.032179439253915934,1400,sample-split-rec,0.4083548893610684
20,0.917494626009227,0.04108726140280792,1700,nonsplit,0.8780076746273834
21,0.8191511750274509,0.0323068804149891,1700,oracle_rec,0.7905954634184817
22,0.2564200311630808,0.028889884039507017,1700,sample-split,0.241531303506379
23,0.6037299160176808,0.04037303382577337,1700,sample-split-rec,0.5692072696729567
24,0.9530258518703213,0.043000626915601706,2000,nonsplit,0.9108692169058461
25,0.8676951325478213,0.03952111248816317,2000,oracle_rec,0.8305729680608809
26,0.435431135808327,0.03506777886557971,2000,sample-split,0.41383569089130273
27,0.7576009341469904,0.043433674613016664,2000,sample-split-rec,0.7170040039615402
28,0.9650489212829156,0.03825105192612127,2300,nonsplit,0.9276833203516915
29,0.8788671875000005,0.019497979882474197,2300,oracle_rec,0.86123046875
30,0.6162660863137879,0.03953645989175331,2300,sample-split,0.5845518162394927
31,0.8060030548413406,0.04329850123578397,2300,sample-split-rec,0.7644187204190429
32,0.9796082899305557,0.03853010746437162,2600,nonsplit,0.9415541811342587
33,0.9163281249999997,0.02438833924305509,2600,oracle_rec,0.8936914062500003
34,0.7600235980415047,0.04048565435641024,2600,sample-split,0.7245274421913145
35,0.8735698107561382,0.04037375747160649,2600,sample-split-rec,0.8346643411038107
36,0.9828124999999996,0.03471153654080854,2900,nonsplit,0.9484765624999999
37,0.9312304687499997,0.022668432417375,2900,oracle_rec,0.9098828124999997
38,0.8374185338631323,0.03937025141094164,2900,sample-split,0.8010675377267297
39,0.907279702567221,0.03865380653796961,2900,sample-split-rec,0.8699510964019271
40,0.9936465043233518,0.038924025388092386,3200,nonsplit,0.9545860172934081
41,0.9505468750000002,0.026284831011385335,3200,oracle_rec,0.9252343749999998
42,0.8689675590538444,0.03792302881269919,3200,sample-split,0.8339062609422607
43,0.929625300202244,0.03427605464339027,3200,sample-split-rec,0.8966541004725057
44,1.0008007812499997,0.03975272914174762,3500,nonsplit,0.9606640625
45,0.95732421875,0.02586389222647749,3500,oracle_rec,0.9323242187499996
46,0.9091364927060497,0.040015245120461826,3500,sample-split,0.8707851268348252
47,0.9369479720102076,0.03151725515342642,3500,sample-split-rec,0.9064702563236702
48,1.0039648437499997,0.03886732642017173,3800,nonsplit,0.9647070312499999
49,0.95990234375,0.025079832025057706,3800,oracle_rec,0.9355468749999997
50,0.9327464861447274,0.03852083416171836,3800,sample-split,0.8955799933697947
51,0.9475658075944254,0.02829724996010255,3800,sample-split-rec,0.9201606300552974
52,1.0073046874999996,0.0405574301364561,4100,nonsplit,0.9661914062499999
53,0.9695703124999998,0.028239278818617992,4100,oracle_rec,0.94197265625
54,0.9458002675150822,0.03867041487528106,4100,sample-split,0.9082871394041494
55,0.9612510359756767,0.029690883704402288,4100,sample-split-rec,0.9323907936883332
56,1.0093359375,0.03956925020520479,4400,nonsplit,0.9691406249999996
57,0.9731445312500001,0.027705116529023945,4400,oracle_rec,0.9459570312500002
58,0.9596641087748514,0.03857592336705629,4400,sample-split,0.922105796121364
59,0.9687485735061212,0.028767174061988497,4400,sample-split-rec,0.9405277046961538
60,1.008515625,0.03754173295215182,4700,nonsplit,0.9704296875000001
61,0.9776171875,0.027457520074692623,4700,oracle_rec,0.9504882812500001
62,0.970064996259208,0.037800440419052284,4700,sample-split,0.9330024530962246
63,0.9767693585980662,0.027438163837338696,4700,sample-split-rec,0.9496926795580112
64,1.0143164062499996,0.04242501063443388,5000,nonsplit,0.9709765625000004
65,0.9796093750000001,0.02877845458827122,5000,oracle_rec,0.95111328125
66,0.9748270853030696,0.038297772652243336,5000,sample-split,0.9371503625150105
67,0.9779620843994956,0.028773944886888742,5000,sample-split-rec,0.9495104578999515
68,1.0179101562499993,0.04138698339051221,5300,nonsplit,0.9754882812499995
69,0.9841015625000002,0.028961573016480918,5300,oracle_rec,0.9553906249999996
70,0.9771591759068129,0.03719945197067319,5300,sample-split,0.9403937091367826
71,0.9826522962846208,0.029313219106077915,5300,sample-split-rec,0.9535764711476007
72,1.0169921874999999,0.040695048828746444,5600,nonsplit,0.9753515625000002
73,0.9863476562499998,0.029516081923194267,5600,oracle_rec,0.9569726562499999
74,0.9816648426427496,0.03614465640221089,5600,sample-split,0.9459433326549772
75,0.9852642866271162,0.0302131658425398,5600,sample-split-rec,0.9552169531420447
76,1.0174414062499995,0.04050795923621958,5900,nonsplit,0.9760156249999999
77,0.9899218749999997,0.031520123770113144,5900,oracle_rec,0.95845703125
78,0.9862109374999999,0.03707273570755683,5900,sample-split,0.94943359375
79,0.9899218749999997,0.031520123770113144,5900,sample-split-rec,0.95845703125
80,1.0160742187500005,0.039081275975008156,6200,nonsplit,0.9761523437499999
